"","Discipline","Description of Finding","Original Report","Replication Report"
"...43",NA,"human performance",NA,"Zhi, K. T. C., Kiat, T. R., Jeng, C., Xiang, Y. Y., & BAODONG, O. (2018, February 23). Replication of Pelt, van der Linden, & Born  (2017, Human Performance). https://doi.org/10.17605/OSF.IO/MF5R7 "
"...45",NA,"Human Behavior",NA,"chew, i. a., Ying, C. Y., Lee, N., & Seng, C. C. J. (2018, April 10). Replication of Bauer & Spector  (2015, Human Behavior). https://doi.org/10.17605/OSF.IO/4XJCG"
"...46",NA,"Learning Efficiency: Identifying individual differences in learning rate and retention",NA,"Zerr, C. L., & McDermott, K. (2018, April 2). Learning Efficiency: Identifying individual differences in learning rate and retention. https://doi.org/10.17605/OSF.IO/RF28U"
"...47",NA,"Learning Efficiency: Identifying individual differences in learning rate and retention",NA,"Zerr, C. L., & McDermott, K. (2018, April 16). Data. https://doi.org/10.17605/OSF.IO/24HUW"
"...48",NA,"Learning Efficiency: Identifying individual differences in learning rate and retention",NA,"Zerr, C. L., & McDermott, K. (2018, April 2). Materials. https://doi.org/10.17605/OSF.IO/Y6JM9"
"...49",NA,"",NA,"Ying, L. P., Jayasri, P., siyun, c., Kin, L. T., & Fong, K. Y. (2018, February 23). Replication of Hershcovis & Bhatnagar  (2017, Journal of Applied Psychology). https://doi.org/10.17605/OSF.IO/GVMQF"
"...51",NA,"",NA,"Charmaine, W. J., Samsudin, S. B., & Wong, N. (2018, March 2). Replication of Motro & Ellis  (2017, Journal of Applied Psychology). https://doi.org/10.17605/OSF.IO/AE9Y3"
"...52",NA,"",NA," Q., Barton, T., Golson, M., Bradshaw, K., Koenig, B., Poulter, L., & Broderick, M. B. (2018, April 27). Huang Replication. https://doi.org/10.17605/OSF.IO/NEXQS"
"...53",NA,"cleanliness priming affects the severity of a participant’s judgment of moral dilemmas when instructed to do the study quickly","Huang, J. L. (2014). Does cleanliness influence moral judgments? Response effort moderates the effect of cleanliness priming on moral judgments. Frontiers in Psychology, 5, 1276.","Mahlke, J., Weaver, A., Hall, M. M., Koenig, B., Poulter, L., Lee, A. A., … Gentry, A. (2018, April 27). Huang  (2014) Replication. https://doi.org/10.17605/OSF.IO/J8A4P"
"...54",NA,"Physical purity (cleanliness) makes moral judgments less severe, by comparing composite moral judgment scores across a hand-washing condition and a non hand-washing condition.","Schnall, S., Benton, J., & Harvey, S. (2008). With a clean conscience: Cleanliness reduces the severity of moral judgments. Psychological science, 19(12), 1219-1222.","Frehner, G., Aiona, J., Sickler, W., Garrett, B., Lawler, K., Benavides, M., … Poulter, L. (2018, April 30). Schnall et al 2008 Student Replication. https://doi.org/10.17605/OSF.IO/H8VJX"
"...55",NA,"After watching a disgust-evoking video, composite moral judgements were less severe in the hand-washing condition as compared to the no-hand-washing condition.","Schnall, S., Benton, J., & Harvey, S. (2008). With a clean conscience: Cleanliness reduces the severity of moral judgments. Psychological science, 19(12), 1219-1222.","Leukel, P. J., Jordan, A., Sharp, M., Fat, J. K., Chaves, J., & Koenig, B. (2018, May 2). Influence of Cleanliness on Moral Judgements: A Direct Replication of Schnall, Benton, and Harvey  (2008). https://doi.org/10.17605/OSF.IO/GEA2S"
"...56",NA,"inaction inertia and its relationships with the trait of maximising tendency as well as anticipated regret",NA,"Lin, L. N., Sim, W., Koh, N., & Qi, N. X. (2018, February 21). Replication of Foster & Diab, Study 2  (2017, Journal of Applied Social Psychology). https://doi.org/10.17605/OSF.IO/UX79M"
"...57",NA,"",NA,"Lixia, S. C., Jang, K., Yeo, D., Shaun, H. Y. L., & Gwee, C. (2018, February 23). Replication of Foster & Diab  (2017, Journal of Applied Social Psychology). https://doi.org/10.17605/OSF.IO/CWJVZ"
"...58",NA,"people with lower self-esteem (and not people with higher self-esteem) experience epistemic confusion in response to imagined positive relational-value feedback from a romantic partner",NA,"Hoplock, L. B., Lab, S., Stinson, D. A., & Marigold, D. C. (2018, June 18). Self-Esteem, Epistemic Needs, and Responses to Social Feedback Replication Experiment 1. https://doi.org/10.17605/OSF.IO/FY4BU"
"...59",NA,"relationship between self-efficacy—beliefs in one's capabilities—and academic success",NA,"Mori, K., Uchida, A., & Michael, R. B. (2018, September 10). The iSP Project: Self-efficacy Promotion by induced Success Performance  (iSP). https://doi.org/10.17605/OSF.IO/54WM7"
"...60",NA,"",NA,"Berlin, G., Sakaluk, J., Wong, R. E., Johnston, S., Grant, N., Clark, J., & Trites, M. (2018, September 27). Pod Assignment 3. https://doi.org/10.17605/OSF.IO/MYR53"
"...61",NA,"",NA,"Berlin, G., Wong, R. E., & Sakaluk, J. (2018, October 15). R-TEST ONE. https://doi.org/10.17605/OSF.IO/EQ9PJ"
"...62",NA,"attempting to replicate the low response effect of study two.  We are comparing the composite mean judgement scores across conditions",NA,"Coronado, M. D., ashworth, a., Koenig, B., Jensen, C., Cook, K., Fotheringham, S., & Leukel, P. J. (2018, October 14). Ashworth Team Huang Replication . https://doi.org/10.17605/OSF.IO/5SZMD"
"...63",NA,"",NA,"Patenaude, J., Palma, P. A., Balakrishnan, A., & Campbell, L. (2018, November 29). Data, Analytic Code, and Syntax. https://doi.org/10.17605/OSF.IO/EGJ64"
"...64",NA,"Cleanliness Priming of Moral Judgements","Huang, J. L. (2014). Does cleanliness influence moral judgments? Response effort moderates the effect of cleanliness priming on moral judgments. Frontiers in Psychology, 5, 1276.","Adams, D., Koenig, B., Sanders, C., Jackson, D., & Davis, C. (2018, December 4). Response Effort on Cleanliness Priming for Moral Judgements. https://doi.org/10.17605/OSF.IO/UXAJG"
"...65",NA,"participants who washed their hands following the disgusting film clip made less severe judgments than participants who did not wash their hands","Schnall, S., Benton, J., & Harvey, S. (2008). With a clean conscience: Cleanliness reduces the severity of moral judgments. Psychological science, 19(12), 1219-1222.","Ton, B., Harris, A., Clah, E., Koenig, B., Walker, A., Leukel, P. J., … Riddle, R. (2018, December 12). Schnall and Johnson Student Replication  (2018). https://doi.org/10.17605/OSF.IO/ND5Y2"
"...66",NA,"replication of the ""liking gap” which is the belief that other people do not like us as much as they actually do",NA,NA
"...67",NA,"replication of the ""liking gap” which is the belief that other people do not like us as much as they actually do",NA,"Astin, J., Cerrato, O., Clark, D., Dickerson, J. M., Osmëni, A., Peterson, M., & Wiggins, B. J. (2023, June 30). Replication of the Liking Gap at BYU-Idaho Winter 2019. https://doi.org/10.17605/OSF.IO/7HRGD"
"...69",NA,"Recognition performance for faces categorised as belonging to in-group members will be better relative to out-group member faces.","Bernstein, M. J., Young, S. G., & Hugenberg, K. (2007). The cross-category effect: Mere social categorization is sufficient to elicit an own-group bias in face recognition. Psychological Science, 18(8), 706-712. Study 1","Fuller, E., & Ritchie, K. L. (2019, February 22). Face recognition bias for in-group members. https://doi.org/10.17605/OSF.IO/CY89G"
"...70",NA,"",NA,"Ochieng, H. O. (2019, December 13). Researcher vs farmer methodologies. https://doi.org/10.17605/OSF.IO/RSQHZ"
"...71",NA,"",NA,"Mah, E., Sakaluk, J., Nedelec, S., Senay, Z., Davie, C., &  N. (2022, March 14). Pod 8. https://doi.org/10.17605/OSF.IO/CB3UG"
"...72",NA,"",NA,"Nedelec, S., Mah, E., Sakaluk, J., Senay, Z., Davie, C., &  N. (2022, March 14). Assignment 5: Modeling Associations. https://doi.org/10.17605/OSF.IO/G57CA"
"...73","Psychology","The effect of subiminal anchoring on the estimation of the costs of a middle class car ","Mussweiler, T., & Englich, B. (2005). Subliminal anchoring: Judgmental consequences and underlying mechanisms. Organizational Behavior and Human Decision Processes, 98(2), 133-143. Study 2","Röseler, L., Schütz, A., Burlakovas, E., Dück, M., Fels, S., Janiczek, S., … Seida, C. (2022, September 15). Replication Mussweiler & Englich, 2005, Study 2. https://doi.org/10.17605/OSF.IO/ACYKD"
"...74",NA,"Recognition performance for faces categorised as belonging to in-group members will be better relative to out-group member faces.","Bernstein, M. J., Young, S. G., & Hugenberg, K. (2007). The cross-category effect: Mere social categorization is sufficient to elicit an own-group bias in face recognition. Psychological Science, 18(8), 706-712. Study 1","Fuller, E., & Ritchie, K. L. (2019, December 16). Face recognition bias for in-group members. https://doi.org/10.17605/OSF.IO/MS634"
"...75",NA,"",NA,"Rice, D. B. (2020, April 2). Survey research. https://doi.org/10.17605/OSF.IO/9EB4D"
"...76",NA,"interaction effect of high vs. low anchor and time pressure vs. no time pressure.","Reitsma-van Rooijen, M., & Daamen, D. D. (2006). Subliminal anchoring: The effects of subliminally presented numbers on probability estimates. Journal of Experimental Social Psychology, 42(3), 380-387.","Röseler, L., Schütz, A., Burlakovas, E., Dück, M., Fels, S., Janiczek, S., … Seida, C. (2022, September 15). Replication of Reitsma-van Rooijen and Daamen  (2006). https://doi.org/10.17605/OSF.IO/GH52K"
"...77",NA,"",NA,"R, R. A. (2020, May 14). Analisis Jurnal : “Experiencing Meaningfulness climate in teams: How spiritual leadership enchaces team effectiveness when facing uncertain tasks”. https://doi.org/10.17605/OSF.IO/BMQJX"
"...78",NA,"",NA,"Gereke, J., Zhang, N., Winter, F., & Kretschmer, D. (2020, September 11). Ethnic Composition and Friendship Segregation: A comment on Smith et al. 2016. https://doi.org/10.17605/OSF.IO/YSXWA"
"...79",NA,"Shame may promote self-interested behaviors for the sake of ego protection",NA,"Chiou, W., & Wu, P. (2020, November 18). Shame may promote self-interested behaviors for the sake of ego protection. https://doi.org/10.17605/OSF.IO/7V3CW"
"...81",NA,"A meta-analytical replication and update on family firm innovation",NA,"Hansen, C., Block, J. H., & Steinmetz, H. (2020, November 25). A meta-analytical replication and update on family firm innovation. https://doi.org/10.17605/OSF.IO/9M8RN"
"...82",NA,"Google Stroop Effect",NA,"Murdoch-Davis, A. (2021, January 2). Replication of Google Stroop Effect  (Sparrow) Experiment 1. https://doi.org/10.17605/OSF.IO/C84AM"
"...83",NA,"",NA,"Edlund, J. (2020, November 30). Receptivity to Casual Sexual Requests. https://doi.org/10.17605/OSF.IO/QXS92"
"...84",NA,"",NA,"Edlund, J. (2020, November 30). Materials. Retrieved from osf.io/c65fd "
"...85",NA,"",NA,"Edlund, J. (2020, November 30). Supplemental Materials. Retrieved from osf.io/h9ad2 "
"...86",NA,"",NA,"Edlund, J. (2021, January 16). Data. Retrieved from osf.io/kznty "
"...87",NA,"",NA,"Santos, B. E. d., De Macedo, L. C. D. S. A., Adomaitis, A. P. G., Merey, L. S. F., de Almeida, J. T., & Santos, M. L. M. d. (2021, June 27). IMPACTOS DO EXERCÍCIO AERÓBICO EM CRIANÇAS COM DIAGNÓSTICO DE ASMA: REVISÃO INTEGRATIVA. https://doi.org/10.17605/OSF.IO/5FVS2"
"...89",NA,"",NA,"Greggianin, B. F., Marques, A. E. M., Amato, A. A., & de Lima, C. L. (2021, October 3). Supplementary data for Effect of periodontal therapy on insulin resistance in subjects with dysglycemia and periodontitis: a systematic review and meta-analysis. https://doi.org/10.17605/OSF.IO/6URXV"
"...90",NA,"Stroop Effect",NA,"Ip, K. H., Ng, H. K. S., Lau, W., Lau, T. C., Lee, S. C., Leung, C. H., & Ling, C. C. (2021, November 17). Replication Study of Stroop Effect. https://doi.org/10.17605/OSF.IO/6HDAS"
"...91",NA,"Motivations of Japanese medical students to online medical English course",NA,"Nomura, O. (2022, March 21). Motivations of Japanese medical students to online medical English course. https://doi.org/10.17605/OSF.IO/KGPBJ"
"...93",NA,"Forewarnings significantly increase adjustment from self-generated anchors but not from experimenter-provided anchors",NA,"Röseler, L., Bögler, H. L., Koßmann, L., Krueger, S., Bickenbach, S., Bühler, R., … Ponader, S. (2023, July 11). Results Report: Replication of Epley and Gilovich  (2005, Study 2). https://doi.org/10.17605/OSF.IO/JYMDS"
"...94","Judgment and Decision Making","Cognitive busyness makes for fewer distance from anchor for self-generated anchors but not experimenter-provided anchors","Epley, N., & Gilovich, T. (2006). The anchoring-and-adjustment heuristic: Why the adjustments are insufficient. Psychological science, 17(4), 311-318. Study 2c","Röseler, L., Bögler, H. L., Koßmann, L., Krueger, S., Bickenbach, S., Bühler, R., … Ponader, S. (2023, July 11). Results Report: Replication of Epley and Gilovich  (2006, Study 2c). https://doi.org/10.17605/OSF.IO/Q6TV8"
"...95","Judgment and Decision Making","People who score low in need for cognition (NFC) are more likely to be influenced by the self-generated anchor → negative correlation between these variables","Epley, N., & Gilovich, T. (2006). The anchoring-and-adjustment heuristic: Why the adjustments are insufficient. Psychological science, 17(4), 311-318. Study 2a","Röseler, L., Bögler, H. L., Koßmann, L., Krueger, S., Bickenbach, S., Bühler, R., … Ponader, S. (2023, July 11). Results Report: Replication of Epley and Gilovich  (2006, Study 2a). https://doi.org/10.17605/OSF.IO/FMD75"
"...96",NA,"Tracing attention and the activation flow in spoken word planning using eye movements.","Roelofs, A. (2008). Tracing attention and the activation flow in spoken word planning using eye movements. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34(2), 353-368.","Van Rijn, H., & Scholz, S. (2023, September 28). Replication of A Roelofs (2008, JEPLMC 34(2), Exp 3). Retrieved from osf.io/qwkum"
"...97",NA,"Now you see it, now you don't: repetition blindness for nonwords","Morris, A.L., Still, M.L. (2008). Now you see it, now you don't: Repetition blindness for nonwords. Journal of Experimental Psychology: Learning Memory and Cognition, 34(1), 146–166.","Goodbourn, P. T. (2023, September 28). Replication of Morris and Still (2008). Retrieved from osf.io/rmvk5"
"...98",NA,"Working memory costs of task switching.","Liefooghe, B., Barrouillet, P., Vandierendonck, A., & Camos, V. (2008). Working memory costs of task switching. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34(3), 478-494. doi: 10.1037/0278-7393.34.3.478","Plessow, F., Möschl, M., & Pavel, M. (2023, September 28). Replication of Liefooghe, Barrouillet, Vandierendonck, & Camos (2008, JEPLMC, Experiment 4). Retrieved from osf.io/4dvzb"
"...99",NA,"Accelerated relearning after retrieval-induced forgetting: The benefit of being forgotten.","Storm, B.C., Bjork, E.L., & Bjork, R.A. 2008. Accelerated relearning after retrieval-induced forgetting: The benefit of being forgotten. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34, 230-236.","Callahan, S. P. (2023, September 28). Replication of BC Storm, EL Bjork, RA Bjork (2008, JEPLMC 34(1), Exp 1). Retrieved from osf.io/8j9cg"
"...100",NA,"The intermixed-blocked effect in human perceptual learning is not the consequence of trial spacing.","C Mitchell, S Nash, G Hall (2008). The intermixed-blocked effect in human perceptual learning is not the consequence of trial spacing. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34.1 (2008): 237-242.","Lakens, D. (2023, September 28). Replication of Mitchell, Nash, & Hall (2008, JEP:LMC). Retrieved from osf.io/4xdkk"
"...101",NA,"A single-system account of the relationship between priming, recognition, and fluency.","Berry, C.J., Shanks, D.R., & Henson, R.N. A single-system account of the relationship between priming, recognition, and fluency. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34(1), 97-111.","Meixner, J. M., & Brüning, J. (2023, September 28). Replication of CJ Berry, DR Shanks, RN Henson (2008, JEPLMC 34(1), Exp 1). Retrieved from osf.io/atgp5"
"...102",NA,"Modeling distributions of immediate memory effects: No strategies needed?","Beaman, C.P., Neath, I., & Suprenant, A.M. (2008). Modeling Distributions of Immediate Memory Effects: No Strategies Needed? Journal of Experimental Psychology: LMC, 34 (1), 219 - 239.","Kleinberg, B., & Kunkels, Y. K. (2023, September 28). Replication of Beaman, Neath, & Suprenant (2008, JEP:LMC, Experiment 2). Retrieved from osf.io/6n3bm"
"...103",NA,"Stereotypes and retrieval-provoked illusory source recollections.","Dodson, C.S., Darragh, J., & Williams, A. (2008). Stereotypes and retrieval-provoked illusory source recollections. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34(3), 460-477.","Calhoun-Sauls, A. (2023, September 28). Replication of CS Dodson, J Darragh, A Williams (2008, JEPLMC 34(3), Exp. 3). Retrieved from osf.io/c5pbg"
"...104",NA,"Prime diagnosticity in short-term repetition priming: Is primed evidence discounted, even when it reliably indicates the correct answer?","Weidemann, C.T., Huber, D.E., & Shiffrin, R.M. (2008). Prime diagnosticity in short-term repetition priming: Is primed evidence discounted, even when it reliably indicates the correct answer? Journal of Experimental Psychology: Learning, Memory, and Cognition, 34(2), 257-281.","Miller, J. K., PhD. (2023, September 28). Replication of Weidemann, Huber, and Shiffrin (2008, JEPLMC, Exp 4). Retrieved from osf.io/ne9dy"
"...105",NA,"Across-notation automatic numerical processing.","Ganor-Stern, D., & Tzelgov, J. (2008). Across-notation automatic numerical processing. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34(2), 430-437.","Shaki, S. (2023, September 28). Replication of D Ganor-Stern, J Tzelgov (2008, JEPLMC 34(2), Exp. 2). Retrieved from osf.io/vmipw"
"...106",NA,"Attractor dynamics and semantic neighborhood density: Processing is slowed by near neighbors and speeded by distant neighbors.","Mirman, D., & Magnuson, J. S. (2008). Attractor dynamics and semantic neighborhood density: Processing is slowed by near neighbors and speeded by distant neighbors. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34, 65-79.","Bosco, F., & Field, J. G. (2016, August 19). Replication of Mirman & Magnuson (2008, JEP:LMC, Study 2). Retrieved from osf.io/rvkc5"
"...107",NA,"When does between-sequence phonological similarity promote irrelevant sound disruption?","Marsh, J.E., Vachon, F., & Jones, D.M. (2008). When does between-sequence phonological similarity promote irrelevant sound disruption? Journal of Experimental Psychology: Learning, Memory, and Cognition, 34(1), 243-248.","Ricker, A. A., & Saide, A. (2023, September 28). Replication of JI Campbell, ND Robert (2008, JEPLMC 34(3), Exp 3). Retrieved from osf.io/gxvd3"
"...110",NA,"The Stroop effect: Why proportion congruent has nothing to do with congruency and everything to do with contingency.","Schmidt, J. R., & Besner, D. (2008). The Stroop effect: why proportion congruent has nothing to do with congruency and everything to do with contingency. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34(3), 514.","Cloud, M. D., & Kyc, M. (2023, September 28). Replication of Schmidt and Besner (2008, JEPLMC, Exp 2). Retrieved from osf.io/bscfe"
"...112",NA,"The ultimate sampling dilemma in experience-based decision making.","Fiedler, K. (2008). The ultimate sampling dilemma in experience-based decision making. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34(1), 186.","Glöckner, A., & Jekel, M. (2023, September 28). Replication of K Fiedler (2008, JEPLMC, Exp 2). Retrieved from osf.io/hp27x"
"...114",NA,"How to say no: Single-and dual-process theories of short-term recognition tested on negative probes.","Oberauer, Klaus. ""How to say no: Single-and dual-process theories of short-term recognition tested on negative probes."" Journal of Experimental Psychology: Learning, Memory, and Cognition 34.3 (2008): 439","Neijenhuijs, K. I., Luteijn, I., Bosch, A., van der Hulst, M., Dorsthorst, A. t, van de Ven, M., & Weerdmeester, J. W. (2023, September 28). Replication of K Oberauer (2008, JEPLMC 34(3), Exp 3). Retrieved from osf.io/gcj7x"
"...115",NA,"Intentional forgetting is easier after two """"shots"""" than one.","Sahakyan, L., Delaney, P. F., & Waldum, E. R. (2008). Intentional forgetting is easier after two"" shots"" than one. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34(2), 408.","Fiedler, S., & May, M. (2023, September 28). Replication of Sahakyan et al. (2008, JEP:LMC, Study 3). Retrieved from osf.io/bzdr2"
"...117",NA,"How does bilingualism improve executive control? A comparison of active and reactive inhibition mechanisms.","Colzato, L.S., Bajo, M.T., van den Wildenberg, W., Paolieri, D., Nieuwenhuis, S., La Heij, W., & Hommel, B. (2008). Journal of Experimental Psychology: Learning, Memory, and Cognition, 34(2), 302-312.","Kappes, H. B. (2023, September 28). Replication of LS Colzato, MT Bajo, W van den Wildenberg, D Paolieri, S Nieuwenhuis, W La Heij, B Hommel (2008, JEPLMC 34(2), Exp. 3). Retrieved from osf.io/p9thw"
"...119",NA,"Priming addition facts with semantic relations.","Bassok, M., Pedigo, S.F., & Oskarsson, A.T (2008). Priming Addition Facts with Semantic Relations. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34, 343-352.","Hung, C. O., Lin, L., & Tsang, S. (2023, September 28). Replication of M Bassok, SF Pedigo, AT Oskarsson (2008, JEPLMC, Study 1). Retrieved from osf.io/sqim7"
"...120",NA,"Learning correct responses and errors in the Hebb repetition effect: two faces of the same coin.","Couture, M., Lafond, D., & Tremblay, S. (2008). Learning correct responses and errors in the hebb repetition effect: Two faces of the same coin. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34(3), 524-532.","Roebke, M. A., & Della Penna, N. (2023, September 28). Replication of Couture, Lafond, and Tremblay (2008, JEPLMC 34(3)). Retrieved from osf.io/k9gp6"
"...121",NA,"Contextual effects on reading aloud: Evidence for pathway control.","Reynolds, M., & Besner, D. (2008). Contextual effects on reading aloud: Evidence for pathway control. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34(1), 50.","Lai, C. K., & Simpson, W. B. (2023, September 28). Replication of Reynolds & Besner (2008, JEP:LMC, Study 5). Retrieved from osf.io/hasfu"
"...122",NA,"On the additive effects of stimulus quality and word frequency in lexical decision: Evidence for opposing interactive influences revealed by RT distributional analyses.","MJ Yap, DA Balota, CS Tse, D Besner. (2008) On the additive effects of stimulus quality and word frequency in lexical decision: evidence for opposing interactive influences revealed by RT distributional analyses. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34(3), 495-513.","Chartier, C. R., & Nervi, T. (2023, September 28). Replication of MJ Yap, DA Balota, CS Tse, D Besner (2008, JEPLMC 34(3), Exp 4). Retrieved from osf.io/ahpik "
"...123",NA,"Semantic interference in a delayed naming task: Evidence for the response exclusion hypothesis.","N Janssen, W Schirm, BZ Mahon, A Caramazza (2008).“Semantic Interference in a Delayed Naming Task: Evidence for the Response Exclusion Hypothesis.” Journal of Experimental Psychology: Learning Memory and Cognition, 34(1), 249-256.","Galak, J. (2023, September 28). Replication of Janssen and colleagues (2008, JEP:LMC, Study 1). Retrieved from osf.io/uhpyr"
"...124",NA,"Multidimensional visual statistical learning.","Turk-Browne, N. B., Isola, P. J., Scholl, B. J., & Treat, T. A. (2008). Multidimensional Visual Statistical Learning. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34(2), 399–407. doi:10.1037/0278-7393.34.2.399","Ostkamp, L., & Jäkel, F. (2023, September 28). Replication of Turk-Browne, Isola, Scholl, Treat (2008, JEP:LMC, Study 4b). Retrieved from osf.io/ujhlw "
"...127",NA,"Accounting for occurrences: A new view of the use of contingency information in causal judgment.","White, P.A. (2008). Accounting for Occurrences: A New View of the Use of Contingency Information in Causal Judgment. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34(1), 204–218.","Müller, S. M., & Renkewitz, F. (2023, September 28). Replication of White (2008, JEP:LMC, Study 3). Retrieved from osf.io/rhbqj"
"...128",NA,"Multiple roles for time in short-term memory: Evidence from serial recall of order and timing."," Farrell, S. (2008). Multiple roles for time in short-term memory: Evidence from serial recall of order and timing. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34(1), 128.","Olsson, C., & Saxe, R. (2023, September 28). Replication of Farrell (2008, JEP:LMC, Study 2). Retrieved from osf.io/swrhy"
"...131",NA,"An attention-based associative account of adjacent and nonadjacent dependency learning.","Pacton, S., & Perruchet, P. (2008). An attention-based associative account of adjacent and nonadjacent dependency learning. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34, 80-96.","Jahn, G. (2023, September 28). Replication of Pacton & Perruchet (2008, JEP:LMC, Study 4b). Retrieved from osf.io/vmz2e"
"...132",NA,"Orienting attention in visual working memory reduces interference from memory probes.","Makovski, Tal; Sussman, Rachel; Jiang, Yuhong V. (2008). Orienting attention in visual working memory reduces interference from memory probes. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34.2: 369-380.","Moore, K. (2023, September 28). Replication of Makovski, Sussman, & Jiang (2008, JEP:LMC). Retrieved from osf.io/0pxro"
